player,date,tm,unnamed:_3,opp,unnamed:_5,cmp,att,yds,td,int,rate,season,week
Jared Goff,2025-09-14,DET,,CHI,"W, 52-21",23,28,334,5,0,156.0,2025,2
Drake Maye,2025-09-14,NWE,@,MIA,"W, 33-27",19,23,230,2,0,137.3,2025,2
Lamar Jackson,2025-09-14,BAL,,CLE,"W, 41-17",19,29,225,4,0,128.6,2025,2
Russell Wilson,2025-09-14,NYG,@,DAL,"L, 37-40",30,41,450,3,1,123.0,2025,2
Justin Herbert,2025-09-15,LAC,@,LVR,"W, 20-9",19,27,242,2,0,122.8,2025,2
