player,date,tm,unnamed:_3,opp,unnamed:_5,cmp,att,yds,td,int,rate,season,week
Josh Allen,2025-12-07,BUF,,CIN,"W, 39-34",22,28,251,3,0,139.7,2025,14
Matthew Stafford,2025-12-07,LAR,@,ARI,"W, 45-17",22,31,281,3,0,131.2,2025,14
Kenny Pickett,2025-12-07,LVR,,DEN,"L, 17-24",8,11,97,1,0,129.7,2025,14
J.J. McCarthy,2025-12-07,MIN,,WAS,"W, 31-0",16,23,163,3,0,129.2,2025,14
Jordan Love,2025-12-07,GNB,,CHI,"W, 28-21",17,25,234,3,1,120.7,2025,14
