player,pfr_player_id,game_date,team,at_or_vs,opp,game_outcome,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_rating,season,week
Jalen Hurts,HurtJa00,2025-10-19,PHI,@,MIN,"W, 28-22",19,23,326,3,0,158.3,2025,7
Drake Maye,MayeDr00,2025-10-19,NWE,@,TEN,"W, 31-13",21,23,222,2,0,135.9,2025,7
Dak Prescott,PresDa01,2025-10-19,DAL,,WAS,"W, 44-22",21,30,264,3,0,130.4,2025,7
Patrick Mahomes,MahoPa00,2025-10-19,KAN,,LVR,"W, 31-0",26,35,286,3,0,126.6,2025,7
Matthew Stafford,StafMa00,2025-10-19,LAR,@,JAX,"W, 35-7",21,33,182,5,0,117.7,2025,7
