player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,carries,rushing_yards,rushing_tds,season,week
Joe Mixon,MixoJo00,2024-09-08,HOU,@,IND,"W, 29-27",30,159,1,2024,1
Jordan Mason,MasoJo00,2024-09-09,SFO,,NYJ,"W, 32-19",28,147,1,2024,1
J.K. Dobbins,DobbJK00,2024-09-08,LAC,,LVR,"W, 22-10",10,135,1,2024,1
Lamar Jackson,JackLa00,2024-09-05,BAL,@,KAN,"L, 20-27",16,122,0,2024,1
Rhamondre Stevenson,StevRh00,2024-09-08,NWE,@,CIN,"W, 16-10",25,120,1,2024,1
