player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,carries,rushing_yards,rushing_tds,season,week
Tony Pollard,PollTo00,2025-12-07,TEN,@,CLE,"W, 31-29",25,161,2,2025,14
Blake Corum,CoruBl00,2025-12-07,LAR,@,ARI,"W, 45-17",12,128,2,2025,14
Saquon Barkley,BarkSa00,2025-12-08,PHI,@,LAC,"L, 19-22",20,122,1,2025,14
Jaylen Wright,WrigJa04,2025-12-07,MIA,@,NYJ,"W, 34-10",24,107,1,2025,14
Derrick Henry,HenrDe00,2025-12-07,BAL,,PIT,"L, 22-27",25,94,0,2025,14
