player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,receptions,receiving_yards,receiving_tds,season,week
Zay Flowers,FlowZa00,2025-09-07,BAL,@,BUF,"L, 40-41",7,143,1,2025,1
Puka Nacua,NacuPu00,2025-09-07,LAR,,HOU,"W, 14-9",10,130,0,2025,1
Jaxon Smith-Njigba,SmitJa06,2025-09-07,SEA,,SFO,"L, 13-17",9,124,0,2025,1
Keon Coleman,ColeKe02,2025-09-07,BUF,,BAL,"W, 41-40",8,112,1,2025,1
CeeDee Lamb,LambCe00,2025-09-04,DAL,@,PHI,"L, 20-24",7,110,0,2025,1
