player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,completions,attempts,passing_yards,passing_tds,interceptions,passer_rating,season,week
Kirk Cousins,CousKi00,2024-10-27,ATL,@,TAM,"W, 31-26",23,29,276,4,0,145.9,2024,8
Jalen Hurts,HurtJa00,2024-10-27,PHI,@,CIN,"W, 37-17",16,20,236,1,0,132.5,2024,8
Jared Goff,GoffJa00,2024-10-27,DET,,TEN,"W, 52-14",12,15,85,3,0,129.9,2024,8
Sam Darnold,DarnSa00,2024-10-24,MIN,@,LAR,"L, 20-30",18,25,240,2,0,128.7,2024,8
Matthew Stafford,StafMa00,2024-10-24,LAR,,MIN,"W, 30-20",25,34,279,4,1,124.5,2024,8
