player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,receptions,receiving_yards,receiving_tds,season,week
Ja'Marr Chase,ChasJa00,2024-11-07,CIN,@,BAL,"L, 34-35",11,264,3,2024,10
Tylan Wallace,WallTy00,2024-11-07,BAL,,CIN,"W, 35-34",3,115,1,2024,10
Terry McLaurin,McLaTe00,2024-11-10,WAS,,PIT,"L, 27-28",5,113,0,2024,10
Marquez Valdes-Scantling,ValdMa00,2024-11-10,NOR,,ATL,"W, 20-17",3,109,2,2024,10
A.J. Brown,BrowAJ00,2024-11-10,PHI,@,DAL,"W, 34-6",5,109,0,2024,10
