player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,receptions,receiving_yards,receiving_tds,season,week
Tucker Kraft,KrafTu00,2025-10-26,GNB,@,PIT,"W, 35-25",7,143,2,2025,8
Rome Odunze,OdunRo00,2025-10-26,CHI,@,BAL,"L, 16-30",7,114,0,2025,8
Travis Kelce,KelcTr00,2025-10-27,KAN,,WAS,"W, 28-7",6,99,1,2025,8
Tetairoa McMillan,McMiTe00,2025-10-26,CAR,,BUF,"L, 9-40",7,99,0,2025,8
Jaylen Waddle,WaddJa00,2025-10-26,MIA,@,ATL,"W, 34-10",5,99,1,2025,8
