player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,carries,rushing_yards,rushing_tds,season,week
Rico Dowdle,DowdRi01,2025-10-05,CAR,,MIA,"W, 27-24",23,206,1,2025,5
Javonte Williams,WillJa10,2025-10-05,DAL,@,NYJ,"W, 37-22",16,135,1,2025,5
Breece Hall,HallBr03,2025-10-05,NYJ,,DAL,"L, 22-37",14,113,0,2025,5
Jacory Croskey-Merritt,CrosJa00,2025-10-05,WAS,@,LAC,"W, 27-10",14,111,2,2025,5
Quinshon Judkins,JudkQu00,2025-10-05,CLE,,MIN,"L, 17-21",23,110,0,2025,5
