player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,completions,attempts,passing_yards,passing_tds,interceptions,passer_rating,season,week
Drew Lock,LockDr00,2024-12-29,NYG,,IND,"W, 45-33",17,23,309,4,0,155.3,2024,17
Baker Mayfield,MayfBa00,2024-12-29,TAM,,CAR,"W, 48-14",27,32,359,5,0,153.0,2024,17
Lamar Jackson,JackLa00,2024-12-25,BAL,@,HOU,"W, 31-2",10,15,168,2,0,143.9,2024,17
Jared Goff,GoffJa00,2024-12-30,DET,@,SFO,"W, 40-34",26,34,303,3,0,132.4,2024,17
Tyrod Taylor,TaylTy00,2024-12-29,NYJ,@,BUF,"L, 14-40",11,14,83,2,0,131.0,2024,17
