player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,receptions,receiving_yards,receiving_tds,season,week
Nico Collins,CollNi00,2024-09-29,HOU,,JAX,"W, 24-20",12,151,1,2024,4
Jayden Reed,ReedJa03,2024-09-29,GNB,,MIN,"L, 29-31",7,139,1,2024,4
Malik Nabers,NabeMa00,2024-09-26,NYG,,DAL,"L, 15-20",12,115,0,2024,4
Michael Pittman Jr.,PittMi01,2024-09-29,IND,,PIT,"W, 27-24",6,113,0,2024,4
George Pickens,PickGe00,2024-09-29,PIT,@,IND,"L, 24-27",7,113,0,2024,4
