player_name,pfr_player_id,game_date,team,at_or_vs,opponent,game_outcome,receptions,receiving_yards,receiving_tds,season,week
Jordan Addison,AddiJo00,2024-11-24,MIN,@,CHI,"W, 30-27",8,162,1,2024,12
Jaylen Waddle,WaddJa00,2024-11-24,MIA,,NWE,"W, 34-15",8,144,1,2024,12
Trey McBride,McBrTr01,2024-11-24,ARI,@,SEA,"L, 6-16",12,133,0,2024,12
Jakobi Meyers,MeyeJa01,2024-11-24,LVR,,DEN,"L, 19-29",10,121,0,2024,12
Puka Nacua,NacuPu00,2024-11-24,LAR,,PHI,"L, 20-37",9,117,0,2024,12
